method,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
FedProx,suburb,60,101,1006,checkpoints_paper_core\sparse15_60ev_seed101_fedprox\global_final.pth,690,718,0,0.0,4.791666666666667,0.9610027855153204,-0.9439372095665955,-0.9567506483715793,0.3916659356078629,0.38985507246376827,0.3333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,1.5,0.9056224899598396,0.08819015612966484,55.14044147416381,0.03763232019921792,0.05779944289693595
FedProx,suburb,60,101,1007,checkpoints_paper_core\sparse15_60ev_seed101_fedprox\global_final.pth,695,723,0,0.0,4.826388888888889,0.9612724757952974,-0.9206248696647035,-0.9191693145792721,0.3702579970506905,0.39328537170263794,0.3333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,1.1666666666666665,0.8989898989898985,0.09472709602102448,54.922948310721814,0.031500191492033425,0.04806362378976492
FedProx,suburb,60,101,1008,checkpoints_paper_core\sparse15_60ev_seed101_fedprox\global_final.pth,702,730,0,0.0,4.875,0.9616438356164384,-0.9611711647158743,-0.9364417355893784,0.395230713525695,0.40432098765432095,0.3333333333333333,0.8333333333333333,0.8333333333333333,1.1666666666666665,1.5,0.9047619047619043,0.09796011982225894,55.213065609033606,0.03715746354399707,0.05273972602739718
FedProx,suburb,60,101,1009,checkpoints_paper_core\sparse15_60ev_seed101_fedprox\global_final.pth,695,723,0,0.0,4.826388888888889,0.9612724757952974,-0.9181582270283065,-0.9121897150046079,0.36387047126126465,0.40143884892086373,0.3333333333333333,0.8333333333333333,0.8333333333333333,0.9999999999999999,1.3333333333333333,0.893574297188755,0.08089321348676486,54.07716640777919,0.03262880650805067,0.04737206085753809
FedProx,suburb,60,101,1010,checkpoints_paper_core\sparse15_60ev_seed101_fedprox\global_final.pth,681,709,0,0.0,4.729166666666667,0.9605077574047954,-0.9218093534470735,-0.9296607510050062,0.37202913566111356,0.3928046989720998,0.5,0.8333333333333333,0.8333333333333333,1.0333333333333408,1.3333333333333333,0.8888888888888892,0.09007549147082283,54.693726113344155,0.03622648786920224,0.05535966149506355
FedRep,old_city,60,101,1001,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,641,669,0,0.0,4.451388888888889,0.9581464872944694,-1.0857831519926875,-0.9605205735024038,0.6822549898946113,0.16666666666666674,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5483091787439613,0.03432137285491446,96.66080067866665,0.03325018252578338,0.041479820627802644
FedRep,old_city,60,101,1002,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,643,673,0,0.0,4.465277777777778,0.9554234769687965,-1.0728788043899609,-0.9714508918015061,0.659146088040243,0.16511145671332286,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5314009661835749,0.033002592554072764,96.43368990831421,0.03607789541520612,0.04494799405646366
FedRep,old_city,60,101,1003,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,656,685,0,0.0,4.555555555555555,0.9576642335766423,-1.0541692859272382,-0.6542509208869399,0.6737749108027115,0.15980691056910584,0.0,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5542635658914727,0.039375369220536846,96.1517693666991,0.02905538052386203,0.03394160583941597
FedRep,old_city,60,101,1004,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,645,673,0,0.0,4.479166666666667,0.9583952451708767,-1.1045593720894544,-0.9648831631653059,0.6619281429629694,0.1731266149870803,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5351851851851851,0.03703837242687049,95.54859697438424,0.03248769551677633,0.039004457652303204
FedRep,old_city,60,101,1005,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,642,670,0,0.0,4.458333333333333,0.9582089552238806,-1.0900406969933758,-0.9367364668957638,0.6942534814898271,0.1674454828660438,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5574712643678159,0.038896935847543036,95.77142587060631,0.03502955656464746,0.04477611940298498
