method,variant,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
LocalDQN,C,old_city,60,101,1001,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,639,667,0,0.0,4.4375,0.9580209895052474,-0.9107827977208653,-0.5907864893037229,0.7246764137034654,0.12128325508607207,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5357142857142857,0.02645712564379471,97.05143293834301,0.030086424005123513,0.04085457271364312
LocalDQN,C,old_city,60,101,1002,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,649,677,0,0.0,4.506944444444445,0.9586410635155096,-0.9319576713514777,-0.596683715631482,0.6939582307258463,0.12865947611710324,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5466666666666666,0.02937209445266159,96.5082740725603,0.031604524881517104,0.039512555391432835
LocalDQN,C,old_city,60,101,1003,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,662,690,0,0.0,4.597222222222222,0.9594202898550724,-0.9417445139866822,-0.6391904623214899,0.6927618148480449,0.1316717019133938,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5381944444444445,0.02718253606058113,95.50856447163964,0.03037917176830751,0.03913043478260869
LocalDQN,C,old_city,60,101,1004,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,652,680,0,0.0,4.527777777777778,0.9588235294117647,-0.9593288246357652,-0.8956082509063524,0.6881036951262168,0.13599182004089996,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5408163265306123,0.027518494820613953,95.94201700740852,0.03060368625447696,0.038235294117647145
LocalDQN,C,old_city,60,101,1005,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,648,676,0,0.0,4.5,0.9585798816568047,-0.9145717766386592,-0.5882777471243497,0.7203089325475232,0.12242798353909466,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5578231292517009,0.029164338092092998,97.14022820709533,0.031114012921448442,0.0451183431952662
LocalDQN,C,old_city,60,101,1006,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,655,683,0,0.0,4.548611111111111,0.95900439238653,-0.9064274526596771,-0.5878465981553556,0.735613547340372,0.11984732824427478,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5398550724637681,0.026985218421614877,96.50054746536794,0.03192290274776921,0.04648609077598831
LocalDQN,C,old_city,60,101,1007,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,655,683,0,0.0,4.548611111111111,0.95900439238653,-0.9493289606277231,-0.6085302066722931,0.715654832558365,0.1318066157760815,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5345911949685536,0.028937448607630985,95.98883254677527,0.030150198652816984,0.04136163982430463
LocalDQN,C,old_city,60,101,1008,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,668,696,0,0.0,4.638888888888889,0.9597701149425287,-0.8856644024115898,-0.6047489203405227,0.7320975284850318,0.11501996007984029,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3870523415977964,0.023239137991482157,96.51080156084878,0.025393727131961974,0.034482758620689724
LocalDQN,C,old_city,60,101,1009,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,655,683,0,0.0,4.548611111111111,0.95900439238653,-0.8960377185217284,-0.5958704021928496,0.7215304893775382,0.11832061068702292,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5447154471544715,0.026076568964512683,96.30074616848891,0.03398637655366832,0.04282576866764276
LocalDQN,C,old_city,60,101,1010,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,645,673,0,0.0,4.479166666666667,0.9583952451708767,-0.9368095047994452,-0.6209084360959295,0.7040035492786424,0.1286821705426357,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5381944444444445,0.027713078140336085,97.44447279987419,0.03255875126235397,0.0442050520059436
